                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3643,                 1.6586,                 1.2323,                0.56123,                0.46682,                0.39394,                0.25819,                 1.3237,                 1.3213,                 1.2599,             0.00020743,             0.00020743,             0.00020743
                      2,                 1.2977,                 1.1788,                  1.217,                 0.5349,                0.54214,                0.52678,                0.35367,                   1.29,                 1.0422,                 1.2408,             0.00039518,             0.00039518,             0.00039518
                      3,                 1.3085,                 1.0841,                 1.2263,                0.63646,                0.53844,                0.58714,                0.40158,                   1.28,                0.96051,                 1.2607,             0.00056231,             0.00056231,             0.00056231
                      4,                 1.2742,                0.99652,                 1.2191,                 0.5612,                0.64417,                 0.6429,                0.43503,                 1.2684,                0.90367,                  1.249,             0.00053219,             0.00053219,             0.00053219
                      5,                 1.2605,                0.92096,                 1.2037,                0.60278,                0.65106,                0.65415,                 0.4448,                  1.263,                0.93076,                 1.2587,             0.00050125,             0.00050125,             0.00050125
                      6,                 1.2216,                0.88799,                  1.176,                0.72489,                0.66134,                0.72447,                0.49596,                 1.2372,                0.83693,                 1.2124,             0.00047031,             0.00047031,             0.00047031
                      7,                 1.2176,                0.85244,                 1.1776,                0.76475,                0.68863,                0.78148,                0.54939,                 1.2069,                0.77769,                 1.1943,             0.00043937,             0.00043937,             0.00043937
                      8,                 1.1931,                 0.8086,                 1.1761,                0.75651,                0.73289,                0.78104,                0.55617,                 1.2005,                0.75375,                 1.1847,             0.00040844,             0.00040844,             0.00040844
                      9,                 1.1861,                0.78512,                 1.1648,                0.77806,                0.75941,                0.82071,                0.58581,                 1.1959,                  0.719,                 1.1985,              0.0003775,              0.0003775,              0.0003775
                     10,                  1.163,                0.74003,                 1.1522,                0.81848,                0.77204,                0.84558,                0.60625,                 1.2096,                0.69314,                 1.1909,             0.00034656,             0.00034656,             0.00034656
                     11,                  1.154,                0.66891,                 1.1706,                0.79181,                0.79795,                  0.854,                0.60683,                 1.1854,                0.69293,                 1.1721,             0.00031562,             0.00031562,             0.00031562
                     12,                 1.1368,                0.64335,                 1.1619,                0.84863,                 0.8311,                0.88364,                0.65037,                 1.1543,                0.63676,                 1.1573,             0.00028469,             0.00028469,             0.00028469
                     13,                 1.1191,                0.61912,                 1.1496,                0.82735,                0.80876,                0.86699,                0.63459,                 1.1588,                0.64323,                 1.1661,             0.00025375,             0.00025375,             0.00025375
                     14,                 1.1054,                0.60682,                   1.14,                0.85231,                0.83135,                0.88882,                0.65265,                 1.1487,                0.63146,                 1.1615,             0.00022281,             0.00022281,             0.00022281
                     15,                 1.0893,                0.57952,                 1.1362,                0.86532,                0.83574,                0.90731,                0.67253,                  1.136,                0.59773,                 1.1502,             0.00019188,             0.00019188,             0.00019188
                     16,                 1.0674,                0.56097,                 1.1221,                0.87524,                0.86103,                 0.9091,                0.67686,                 1.1205,                 0.5856,                 1.1503,             0.00016094,             0.00016094,             0.00016094
                     17,                 1.0523,                0.54513,                  1.124,                0.85909,                0.84746,                0.90119,                0.67502,                 1.1165,                0.59506,                 1.1476,                0.00013,                0.00013,                0.00013
                     18,                 1.0328,                 0.5234,                 1.1094,                0.86917,                0.86973,                0.91246,                0.68545,                 1.1047,                0.56784,                 1.1342,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     19,                 1.0179,                0.50399,                 1.1013,                0.87238,                0.85597,                0.92029,                0.69588,                 1.1017,                0.56265,                 1.1333,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     20,                0.99891,                0.48668,                 1.0874,                0.87337,                0.88152,                0.92691,                0.70436,                 1.0932,                 0.5498,                 1.1296,             3.7188e-05,             3.7188e-05,             3.7188e-05
